,,Notes,Status,Token_Id,Name,Description,Image,Season,Batch,Episode,Rarity,Genus,Faction,Status,Allegiance,Hair,Eyes,Mouth,Beard,Neck,HeadPiece,Glasses,Facial Accessory,Clothing,Equipment 1,Equipment 2,Weapon 1,Weapon 2,Skill 1,Skill 2,Background,
,,,,279,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,White Bowl-Cut,,,,Nugz,None,Black & Green Sunglasses,Blue Bandana,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,280,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,Dark Blue Eyes,Regular,Grey Beard,Nugz,Blue Backwards Cap,None,Pipe,None,Teal Mech-Eye,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,281,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Pink Mohawk,Green Eyes,Open,Brown Beard,Nugz,None,None,None,None,Teal Mech-Eye,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,282,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Grey Beard,Nugz,Mac Hat,Green Visor,Blue Vape,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,283,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Blond Saiyan Hair,,Drooling,Brown Beard,Nugz,None,Black Eye-Patch,Drool,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,284,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Brown Beard,Nugz,Red Backwards Cap,Nug-Vision Goggles,None,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,285,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Grey Beard,Nugz,,Black Eye-Patch,Blue Vape,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,286,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,Mac Hat,White & Pink Sunglasses,Pink Breather,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,287,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,None,,Regular,None,Nugz,Blue Hitai-ate,White & Pink Sunglasses,Blue Vape,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,288,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,White Bowl-Cut,,Regular,Grey Beard,Nugz,None,None,Blue Vape,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,289,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Brown Top Knot,,Regular,Grey Beard,Nugz,None,FAT VR Goggles,Blue Vape,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,290,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Grey Beard,Nugz,Mac Hat,Red Dot Eye-Patch,Cigg,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,291,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Grey Beard,Nugz,Red Backwards Cap,Black Ski Goggles,Blue Vape,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,292,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Happy,Grey Beard,Nugz,Purple Beanie,Retro Glasses,None,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,293,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Short Purple Hair,,Gagged,Brown Beard,Nugz,None,None,Teal Ball-Gag,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,294,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Open,None,Nugz,Black Backwards Cap,Green Visor,None,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,295,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Balding,,Regular,Brown Beard,Nugz,None,None,Blue Vape,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,296,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,Admiral Cap,White & Pink Sunglasses,Red Bandana,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,297,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,Blue Backwards Cap,Safety Glasses,Blue Vape,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,298,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,,Kill Bill Eye-Patch,Green Gas Mask,White Hoodie,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,299,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Brown Beard,Nugz,Green Beret,White Ski Goggles,Cigg,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,300,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Brown Beard,Nugz,Black Backwards Cap,Green Lazer Goggles,None,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,301,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Grey Beard,Nugz,Admiral Cap,Black & Blue Sunglasses,None,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,302,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Grey Beard,Nugz,Red Beret,Green Lazer Goggles,Pipe,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,303,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Brown Top Knot,,Regular,Brown Beard,Nugz,None,Teal Lazer Goggles,Pipe,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,304,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Brown Beard,Nugz,Mac Hat,White & Pink Sunglasses,Green Vape,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,305,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Candle Wax,,Regular,Brown Beard,Nugz,Candle Stick,Safety Glasses,None,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,306,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,White Top Knot,,Regular,Grey Beard,Nugz,None,Safety Glasses,Blue Vape,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,307,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,,Pink Ski Goggles,Green Vape,Green Hoodie,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,308,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Grey Beard,Nugz,Red Beret,Kill Bill Eye-Patch,Pink Vape,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,309,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Brown Beard,Nugz,Red Beret,Black & Blue Sunglasses,Pipe,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,310,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Grey Beard,Nugz,Purple Beanie,Retro Glasses,Pink Vape,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,311,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Pink Bowl-Cut,,Regular,Grey Beard,Nugz,None,Black Ski Goggles,Pink Vape,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,312,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,Blue Backwards Cap,Green Lazer Goggles,None,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,313,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Brown Beard,Nugz,Black Beanie,TV HeadSet,Pink Vape,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,314,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Brown Beard,Nugz,Green Beret,Green Visor,Pipe,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,315,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,Purple Beanie,Teal Lazer Goggles,None,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,316,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,None,,Happy,Brown Beard,Nugz,Blue Hitai-ate,Scouter,None,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,317,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Brown Top Knot,,Regular,Brown Beard,Nugz,None,Black & Blue Sunglasses,Blue Vape,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,318,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Grey Beard,Nugz,,Censored ,Blue Vape,Purple Hoodie,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,319,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,Green Beanie,Pink Ski Goggles,Green Vape,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,320,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,,Retro Glasses,Teal Gas Mask,Green Hoodie,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,321,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Pink Bowl-Cut,,Open,Brown Beard,Nugz,None,Black Ski Goggles,None,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,322,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Black Top Knot,,Regular,None,Nugz,None,None,None,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,323,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,None,,Happy,Brown Beard,Nugz,Blue Hitai-ate,White & Pink Sunglasses,None,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,324,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Grey Beard,Nugz,,TV HeadSet,Pipe,Black Hoodie,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,325,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,,Black & Blue Sunglasses,Pink Gas Mask,Black Hoodie,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,326,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Pink Bowl-Cut,,Regular,Grey Beard,Nugz,None,Nug-Vision Goggles,Pipe,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,327,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,,,Teal Full Face Breather,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,328,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,None,,,,Nugz,None,Black Ski Goggles,Teal Breather,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,329,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,None,,,,Nugz,Black Hitai-ate,White & Blue Sunglasses,Green Breather,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,330,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,,Low Shades,Blue Vape,Purple Hoodie,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,331,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Pink Mohawk,,Regular,None,Nugz,None,Green Lazer Goggles,Pink Vape,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,332,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,Blue N Cap,Kill Bill Eye-Patch,Blue Bandana,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,333,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,,TV HeadSet,Green Vape,Green Hoodie,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,334,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,Blue Football Helmet,None,None,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,335,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,Blue Backwards Cap,TV HeadSet,Green Breather,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,336,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,,Black Ski Goggles,Pipe,Black Hoodie,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,337,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Brown Top Knot,,Regular,Grey Beard,Nugz,None,Black & Green Sunglasses,Pipe,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,338,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Cyan Mohawk,,Regular,None,Nugz,None,Scouter,None,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,339,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Black Top Knot,,,,Nugz,None,Safety Glasses,Green Breather,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,340,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Happy,Grey Beard,Nugz,,3D Glasses,None,Black Hoodie,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,341,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Pink Mohawk,,Regular,Grey Beard,Nugz,None,White Ski Goggles,Cigg,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,342,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Cyan Mohawk,,Regular,None,Nugz,None,Black & Green Sunglasses,Green Vape,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,343,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Grey Bowl-Cut,,Regular,Grey Beard,Nugz,None,Vitalik Shades,Green Vape,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,344,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Grey Bowl-Cut,,,,Nugz,None,,Teal Full Face Breather,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,345,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,Grey Beard,Nugz,,Pink Ski Goggles,Cigg,Pink Hoodie,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,346,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Short Blue Hair,,,,Nugz,None,Safety Glasses,Red Bandana,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,347,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,,Low Shades,Red Bandana,Black Hoodie,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,348,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,,White & Green Sunglasses,Blue Vape,Black Hoodie,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,349,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,,3D Glasses,Pink Gas Mask,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,350,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,None,,Regular,None,Nugz,None,Vitalik Shades,None,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,351,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Cyan Mohawk,,,,Nugz,None,VR Goggles,Pink Breather,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,352,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Green Mohawk,,Regular,None,Nugz,None,Black & Green Sunglasses,Cigg,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,353,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,Green Beanie,3D Glasses,Blue Vape,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,354,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Black Bowl-Cut,,,,Nugz,None,None,Green Gas Mask,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,355,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,,FAT VR Goggles,Teal Breather,Green Hoodie,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,356,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,Black Backwards Cap,Green Lazer Goggles,Blue Bandana,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,357,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Pink Bowl-Cut,,,,Nugz,None,White Ski Goggles,Green Gas Mask,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,358,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Black Top Knot,,,,Nugz,None,Low Shades,Red Bandana,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,359,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,White Top Knot,,,,Nugz,None,Nug-Vision Goggles,Pink Gas Mask,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,360,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Pink Saiyan Hair,,,,Nugz,None,Teal Lazer Goggles,Pink Breather,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,361,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Pink Saiyan Hair,,,,Nugz,None,White & Blue Sunglasses,Green Breather,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,362,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,White Bowl-Cut,,,,Nugz,None,3D Glasses,Green Gas Mask,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,363,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,Green Beanie,White & Pink Sunglasses,Blue Bandana,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,364,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Red Mohawk,,Regular,None,Nugz,None,Cyber Headset,Pipe,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,365,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,,Safety Glasses,Green Vape,Green Hoodie,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,366,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Short Blue Hair,,Regular,None,Nugz,None,Vitalik Shades,Pink Vape,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,367,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,Blue Backwards Cap,Cyber Headset,Green Gas Mask,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,368,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Short Blue Hair,,,,Nugz,None,Pink Ski Goggles,Teal Breather,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,369,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,Beer-Cap,White & Blue Sunglasses,Cigg,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,370,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Red Mohawk,,,,Nugz,None,Nug-Vision Goggles,Pink Breather,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,371,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Red Mohawk,,,None,Nugz,None,Black & Green Sunglasses,Cigg,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,372,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Pink Mohawk,,,,Nugz,None,Green Visor,Blue Bandana,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,373,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,Blue N Cap,White & Green Sunglasses,Pink Breather,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,374,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Grey Bowl-Cut,,,,Nugz,None,Pink Ski Goggles,Teal Breather,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,375,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Green Mohawk,,Regular,None,Nugz,None,VR Goggles,None,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,376,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,None,,,,Nugz,None,White & Green Sunglasses,Pink Breather,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,377,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Short Black Hair,,,,Nugz,None,None,Red Bandana,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,378,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,,VR Goggles,None,White Hoodie,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,379,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Pink Mohawk,,,,Nugz,None,VR Goggles,Green Gas Mask,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,380,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,Black Beanie,White & Pink Sunglasses,Pipe,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,381,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,,Black & Blue Sunglasses,Cigg,Black Hoodie,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,382,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Blond Saiyan Hair,,Regular,None,Nugz,None,Black Eye-Patch,Pink Vape,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,383,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,,VR Goggles,Teal Gas Mask,Purple Hoodie,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,384,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Short Pink Hair,,Regular,None,Nugz,None,White & Blue Sunglasses,None,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,385,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Black Top Knot,,,,Nugz,None,None,Green Gas Mask,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,386,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,White Bowl-Cut,,Regular,None,Nugz,None,Cyber Headset,Blue Vape,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,387,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,,Black & Green Sunglasses,Red Bandana,Light Blue Hoodie,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,388,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Blond Saiyan Hair,,,,Nugz,None,VR Goggles,Pink Gas Mask,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,389,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,,FAT VR Goggles,Teal Breather,Green Hoodie,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,390,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,Blue N Cap,Black & Green Sunglasses,Blue Vape,None,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,391,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,,Green Lazer Goggles,Green Vape,Black Hoodie,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,392,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,,Low Shades,Green Breather,Black Hoodie,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,393,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,Green Beanie,3D Glasses,Pink Vape,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,394,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Green Mohawk,,,,Nugz,None,Cyber Headset,Teal Gas Mask,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,395,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,,None,None,Purple Hoodie,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,396,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Blond Saiyan Hair,,Regular,None,Nugz,None,Low Shades,None,None,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,397,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,,White & Blue Sunglasses,Green Gas Mask,Light Blue Hoodie,None,None,None,None,Unknown,Unknown,Turquoise/Pink,
,,,,398,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,,Black & Blue Sunglasses,Blue Vape,Light Blue Hoodie,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,399,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,,White & Green Sunglasses,Pink Vape,Green Hoodie,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,400,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,None,,,,Nugz,Blue Hitai-ate,Black Eye-Patch,Green Breather,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,401,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,Black Bowl-Cut,,,,Nugz,None,Low Shades,Green Breather,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,402,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,,Black & Blue Sunglasses,Green Breather,Black Hoodie,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,403,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,,,Nugz,,Black & Green Sunglasses,Red Bandana,Purple Hoodie,None,None,None,None,Unknown,Unknown,Blue/Turquoise,
,,,,404,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,Blue Football Helmet,None,Pink Vape,None,None,None,None,None,Unknown,Unknown,Yellow/Pink,
,,,,405,,,,Genesis,2,None,Standard,Nugz,Citizen,Pleb,Ally,,,Regular,None,Nugz,,Teal Lazer Goggles,Cigg,White Hoodie,None,None,None,None,Unknown,Unknown,Yellow/Pink,
